"caseid_new","w2_section","w1_partyid7","w1_ppc10017","w1_ppp20071","w1_ppp20072","w1_ppagecat","w1_ppeducat","w1_ppethm","w1_ppRace_1","w1_ppRace_2","w1_ppRace_3","w1_ppRace_4","w1_ppRace_5","w1_ppRace_6","w1_ppgender","w1_pphhhead","w1_pphouse","w1_ppincimp_cat","w1_ppmarit","w1_ppmsacat","w1_PPREG4","w1_pprent","w1_PPT18OV","w1_ppwork","w1_xlgb","w1_partnership_status","w1_prior_identity_lgb","w1_same_sex_couple","w1_same_sex_couple_gender","w1_q4","w1_q5","w1_q6a","w1_q6b","w1_q9","w1_q10","w1_q11","w1_q12","w1_q14","w1_q16","w1_q17","w1_attraction","w1_identity_all","w1_q23","w1_otherdate_all","w1_married","w1_age_when_met","w1_time_from_met_to_rel","w1_subject_race","w1_partner_mother_yrsed","w1_subject_mother_yrsed","w1_partner_yrsed","w1_subject_yrsed","w1_either_internet_adjusted","w1_smart_phone","w1_children_in_hh"
715665,0,3,1,2,2,1,3,1,1,0,0,0,0,0,1,1,1,2,5,1,3,1,3,7,2,3,0,0,0,2,0,1,1,21,10,12,4,11,4,0,1,1,4,1,0,NA,NA,1,16,14,13,13,0,1,1
716833,0,2,1,1,5,5,2,1,1,0,0,0,0,0,2,1,4,1,2,0,3,1,1,6,2,3,0,0,0,1,0,1,1,63,9,8,7,9,0,2,1,1,3,2,0,17,1.4166259765625,1,12,12,12,12,0,1,0
716931,1,3,1,1,2,6,3,1,1,0,0,0,0,0,2,1,1,2,2,1,3,1,1,5,2,1,0,0,0,1,0,1,1,78,12,10,4,9,0,2,1,1,3,1,1,41,0.1666259765625,1,13,12,16,14,0,1,0
717299,0,5,1,2,2,6,4,1,1,0,0,0,0,1,2,1,1,3,2,1,3,2,3,5,2,3,0,0,0,1,0,1,5,75,12,6,4,10,2,1,1,1,3,1,0,14,1.25,1,10,13,16,17,0,1,1
720815,1,5,-2,-2,4,5,4,5,1,1,0,0,0,0,2,1,1,3,1,1,4,1,3,1,2,1,0,0,0,1,0,1,1,65,13,13,5,13,3,1,1,1,1,1,1,NA,NA,2,17,17,17,20,0,NA,0
723961,0,NA,-2,NA,NA,1,3,1,1,0,0,0,0,0,2,0,1,4,5,1,2,1,4,7,2,4,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,13,NA,NA,1
724199,1,7,1,2,6,3,1,3,0,0,0,1,0,0,1,0,3,1,6,1,2,2,2,2,2,2,0,0,0,2,0,1,1,29,12,12,7,9,2,0,1,1,1,2,0,34,0.1666259765625,4,16,12,16,12,0,1,0
726183,1,3,1,-2,6,4,3,1,1,0,0,0,0,0,1,1,1,4,1,1,2,1,2,1,2,1,0,0,0,2,0,1,1,46,10,10,5,9,8,1,1,1,1,1,1,22,0.0833740234375,1,13,12,13,13,0,1,0
726431,1,4,1,2,6,4,3,1,1,0,0,0,0,0,2,1,3,2,6,1,2,2,1,1,2,2,0,0,0,1,0,1,1,56,9,9,4,9,5,0,1,1,1,1,0,51,0.3333740234375,1,12,12,12,14,1,1,0
727775,1,2,1,-2,3,3,4,1,1,0,0,0,0,0,2,1,1,4,1,1,3,1,1,1,2,1,0,0,0,1,0,1,1,40,12,13,3,9,3,1,1,1,3,1,1,21,0,1,17,12,16,16,0,1,0
728327,1,1,2,1,1,5,4,1,1,0,0,0,0,0,1,1,1,4,1,1,4,1,3,1,2,1,0,0,0,2,0,1,1,56,10,9,1,10,2,1,1,1,1,1,1,21,1.0833740234375,1,12,13,13,17,0,0,0
729319,1,3,1,2,4,5,4,3,0,0,0,1,0,0,1,1,3,4,1,1,1,1,2,1,2,1,0,0,0,2,0,3,5,64,9,2,5,4,1,1,1,1,1,1,1,28,0.0833740234375,4,2.5,7.5,12,16,0,1,0
729415,0,6,2,1,5,3,2,1,1,0,0,0,0,0,1,1,1,3,6,0,3,1,2,7,2,3,0,0,0,2,0,1,1,39,10,0,5,9,2,0,1,1,3,1,0,31,0,1,NA,12,13,12,0,0,0
